Fold,threshold,F1,AUROC,Precision,Recall,Brier,TN,FP,FN,TP,F1_fixed_tau
1,0.54,0.2012,0.6174,0.1735,0.2394,0.2556,2131.0,243.0,162.0,51.0,0.2094
2,0.55,0.2417,0.6403,0.2172,0.2723,0.2562,2165.0,209.0,155.0,58.0,0.2314
3,0.55,0.2454,0.6762,0.2025,0.3113,0.2728,2115.0,260.0,146.0,66.0,0.2134
4,0.54,0.2072,0.628,0.1724,0.2594,0.2602,2110.0,264.0,157.0,55.0,0.2038
5,0.57,0.2327,0.6513,0.2448,0.2217,0.266,2229.0,145.0,165.0,47.0,0.2229
6,0.51,0.2484,0.6539,0.1887,0.3632,0.2404,2043.0,331.0,135.0,77.0,0.2358
7,0.55,0.2371,0.6338,0.2255,0.25,0.2571,2192.0,182.0,159.0,53.0,0.2305
8,0.56,0.1836,0.6393,0.1881,0.1792,0.2577,2210.0,164.0,174.0,38.0,0.2161
9,0.56,0.2489,0.6455,0.2391,0.2594,0.2715,2199.0,175.0,157.0,55.0,0.1993
10,0.57,0.2027,0.6428,0.2331,0.1792,0.2613,2249.0,125.0,174.0,38.0,0.2195
mean +/- SD,0.55,0.2249 +/- 0.0238  [95%CI +/-0.0171],0.6429 +/- 0.0159  [95%CI +/-0.0114],0.2085 +/- 0.0271  [95%CI +/-0.0194],0.2535 +/- 0.0558  [95%CI +/-0.0399],0.2599 +/- 0.0092  [95%CI +/-0.0066],,,,,0.2182
